data,campeonatoAno,ginasio,fase,timeCasa,pontosTimeCasa,acertos3PtsTimeCasa,acertos2PtsTimeCasa,LanceLivreTimeCasa,rebotesTimeCasa,assistsTimeCasa,RoubadasTimeCasa,TocosTimeCasa,FaltasTimeCasa,timeFora,pontosTimeFora,acertos3PtsTimeFora,acertos2PtsTimeFora,LanceLivreTimeFora,rebotesTimeFora,assistsTimeFora,RoubadasTimeFora,TocosTimeFora,FaltasTimeFora
26/02/2015,2014/2015,Ginásio Pedrocão                                    ,2º TURNO,Franca,66,10,16,4,35,8,7,2,18,Minas,69,8,16,13,33,13,10,0,17
23/05/2017,2016/2017,Gin. Panela de Pressão                                    ,SEMI,Bauru,66,0,0,0,0,0,0,0,0,Pinheiros,60,0,0,0,0,0,0,0,0
13/05/2017,2016/2017,Gin. Panela de Pressão                                    ,SEMI,Bauru,83,0,0,0,0,0,0,0,0,Pinheiros,89,0,0,0,0,0,0,0,0
14/05/2017,2016/2017,Gin. Antonio Prado Jr                                    ,SEMI,Paulistano,70,0,0,0,0,0,0,0,0,Vitória,67,0,0,0,0,0,0,0,0
20/05/2017,2016/2017,Poliesportivo H. Villaboim                                    ,SEMI,Pinheiros,72,0,0,0,0,0,0,0,0,Bauru,76,0,0,0,0,0,0,0,0
15/05/2017,2016/2017,Gin. Panela de Pressão                                    ,SEMI,Bauru,94,0,0,0,0,0,0,0,0,Pinheiros,77,0,0,0,0,0,0,0,0
26/02/2015,2014/2015,Ginásio Gualberto Moreira                                    ,2º TURNO,L. Sorocabana,102,15,23,11,35,19,13,2,25,Palmeiras,81,9,19,16,24,14,11,2,18
26/02/2015,2014/2015,Gin. Antonio Prado Jr                                    ,2º TURNO,Paulistano,84,5,25,19,46,19,9,0,16,Pinheiros,68,6,21,8,28,12,8,4,18
09/05/2017,2016/2017,Gin. Poliesportivo de Cajazeiras                                    ,SEMI,Vitória,84,0,0,0,0,0,0,0,0,Paulistano,93,0,0,0,0,0,0,0,0
12/05/2017,2016/2017,Gin. Antonio Prado Jr                                    ,SEMI,Paulistano,82,0,0,0,0,0,0,0,0,Vitória,72,0,0,0,0,0,0,0,0
25/02/2015,2014/2015,Ginásio Vô Lucato                                    ,2º TURNO,Limeira,86,10,20,16,42,17,5,1,22,Brasília,69,6,16,19,29,21,11,3,22
25/02/2015,2014/2015,Gin. Felipe Karam                                    ,2º TURNO,Rio Claro,92,7,23,25,34,16,11,2,18,Basq. Cearense,83,9,23,10,36,10,5,6,22
24/02/2015,2014/2015,Ginásio Pedrocão                                    ,2º TURNO,Franca,70,7,17,15,35,11,10,1,18,Uberlândia,62,6,14,16,32,11,14,4,23
24/02/2015,2014/2015,Ginásio do Clube Hebraica                                    ,2º TURNO,Pinheiros,85,15,15,10,43,17,11,2,15,L. Sorocabana,79,8,22,11,38,13,14,1,16
24/02/2015,2014/2015,Gin. Antonio Prado Jr                                    ,2º TURNO,Paulistano,92,10,20,22,34,12,11,1,26,Palmeiras,73,7,19,14,36,14,9,3,30
13/02/2015,2014/2015,Ginásio Homero Santos                                    ,2º TURNO,Uberlândia,66,2,20,20,32,18,10,3,24,L. Sorocabana,72,3,23,17,49,10,11,2,21
15/02/2015,2014/2015,Gin. Panela de Pressão                                    ,2º TURNO,Bauru,106,11,25,23,41,19,12,1,18,Rio Claro,74,5,22,15,33,14,6,0,23
23/02/2015,2014/2015,Tijuca Tênis Clube                                    ,2º TURNO,Flamengo,103,12,21,25,32,17,14,3,22,Macaé,78,8,20,14,26,11,7,0,27
