campeonatoAno,fase,timeCasa,pontosTimeCasa,acertos2PtsTimeCasa,acertos3PtsTimeCasa,acertosTotaisTimeCasa,LancesLivresCertosTimeCasa,rebotesDefensivosTimeCasa,rebotesOfensivosTimeCasa,rebotesTotaisTimeCasa,assistsTimeCasa,RoubadasTimeCasa,ErrosTimeCasa,TocosTimeCasa,FaltasTimeCasa,EficienciaTimeCasa,Arremessos2PtsTimeCasa,Arremessos3PtsTimeCasa,ArremessosLLTimeCasa,ArremessosTotaisTimeCasa,timeFora,pontosTimeFora,acertos2PtsTimeFora,acertos3PtsTimeFora,acertosTotaisTimeFora,LancesLivresCertosTimeFora,rebotesDefensivosTimeFora,rebotesOfensivosTimeFora,rebotesTotaisTimeFora,assistsTimeFora,RoubadasTimeFora,ErrosTimeFora,TocosTimeFora,FaltasTimeFora,EficienciaTimeFora,Arremessos2PtsTimeFora,Arremessos3PtsTimeFora,ArremessosLLTimeFora,ArremessosTotaisTimeFora
2022/2023,1º TURNO,Fortaleza B. C.,80,29,3,32,13,25,19,44,20,9,18,6,27,91,50,16,29,66,Cerrado Basquete,86,15,12,27,20,21,13,34,12,11,17,1,23,82,27,32,33,59
2022/2023,1º TURNO,Pinheiros,81,17,9,26,20,18,10,28,25,9,9,4,12,98,33,30,23,63,123 Minas,72,13,12,25,10,28,10,38,21,5,24,2,20,83,31,24,11,55
2022/2023,1º TURNO,Cerrado Basquete,93,11,20,31,11,26,11,37,16,8,12,2,18,97,24,52,13,76,Pinheiros,95,23,10,33,19,34,15,49,20,6,15,7,17,120,48,25,21,73
2022/2023,1º TURNO,Paulistano,76,19,9,28,11,36,8,44,24,7,23,3,18,96,36,23,15,59,Pato Basquete,69,18,8,26,9,25,7,32,10,18,14,0,17,66,38,29,17,67
2022/2023,1º TURNO,123 Minas,92,24,12,36,8,27,14,41,22,11,12,1,21,109,47,31,12,78,Sesi Franca,94,20,12,32,18,30,9,39,21,4,15,1,16,103,35,30,26,65
2022/2023,FINAL,Sesi Franca,92,27,8,35,14,34,12,46,15,12,16,4,21,112,39,32,19,71,São Paulo,68,17,9,26,7,25,8,33,19,11,17,1,20,68,42,25,13,67
2022/2023,FINAL,Sesi Franca,88,23,9,32,15,27,9,36,19,2,14,5,18,100,34,28,21,62,São Paulo,98,22,13,35,15,22,8,30,22,7,5,0,24,114,41,28,19,69
2022/2023,FINAL,São Paulo,80,17,10,27,16,29,12,41,9,6,10,2,26,84,40,28,19,68,Sesi Franca,88,18,10,28,22,30,12,42,19,4,9,7,22,109,40,26,26,66
2022/2023,SEMI,Sesi Franca,93,25,10,35,13,28,4,32,20,3,11,4,20,114,36,23,16,59,123 Minas,79,17,10,27,15,18,12,30,17,6,7,1,22,83,39,28,18,67
2022/2023,SEMI,Sesi Franca,90,21,11,32,15,27,16,43,16,1,13,1,24,95,40,31,19,71,123 Minas,93,23,9,32,20,25,6,31,21,5,11,2,23,106,38,25,24,63
2022/2023,FINAL,São Paulo,92,15,14,29,20,23,4,27,20,6,11,2,23,106,27,30,22,57,Sesi Franca,94,23,9,32,21,23,15,38,13,6,9,2,22,105,42,29,21,71
2022/2023,SEMI,123 Minas,91,22,9,31,20,29,8,37,20,4,13,0,23,99,38,24,29,62,Sesi Franca,95,19,13,32,18,22,7,29,20,4,8,2,25,102,31,34,25,65
2022/2023,1º TURNO,Flamengo,80,17,13,30,7,37,18,55,26,6,15,3,15,105,31,39,17,70,Fortaleza B. C.,60,15,7,22,9,27,14,41,6,8,11,1,19,49,41,30,16,71
2022/2023,SEMI,São Paulo,72,21,6,27,12,23,8,31,13,7,14,0,21,76,32,24,16,56,Flamengo,69,19,6,25,13,22,14,36,14,11,15,2,18,76,32,32,15,64
2022/2023,FINAL,Sesi Franca,81,10,12,22,25,28,8,36,11,5,10,5,22,87,24,33,31,57,São Paulo,86,19,11,30,15,31,13,44,15,5,11,1,25,99,38,31,17,69
2022/2023,SEMI,123 Minas,103,20,13,33,24,30,10,40,22,4,9,1,20,124,37,28,29,65,Sesi Franca,89,22,11,33,12,24,6,30,25,4,7,3,22,104,37,32,16,69
2022/2023,QUARTAS,Sesi Franca,83,19,10,29,15,25,9,34,14,6,19,1,26,88,33,25,17,58,UNIFACISA,74,18,5,23,23,20,7,27,11,11,16,0,22,71,30,22,30,52
2022/2023,SEMI,São Paulo,96,14,19,33,11,27,3,30,21,9,8,0,20,118,22,40,12,62,Flamengo,79,16,12,28,11,26,17,43,23,6,15,0,16,91,28,41,15,69
2022/2023,SEMI,Flamengo,72,8,11,19,23,24,14,38,15,7,17,1,20,77,24,31,26,55,São Paulo,80,22,7,29,15,24,7,31,17,6,13,2,27,91,31,27,18,58
2022/2023,QUARTAS,123 Minas,71,21,7,28,8,34,13,47,16,6,13,2,21,90,41,23,11,64,Paulistano,67,15,9,24,10,25,18,43,10,4,9,4,19,63,40,35,15,75
2021/2022,1º TURNO,Mogi,77,18,9,27,14,28,12,40,24,7,18,2,18,96,37,23,17,60,Paulistano,72,16,9,25,13,22,8,30,18,12,15,3,16,80,32,28,18,60
2022/2023,SEMI,Sesi Franca,112,28,13,41,17,30,8,38,22,2,2,3,15,136,41,32,24,73,123 Minas,98,16,20,36,6,27,6,33,21,2,5,0,23,112,36,36,7,72
2021/2022,1º TURNO,Bauru,77,19,8,27,15,35,5,40,13,4,17,2,16,87,27,23,24,50,Rio Claro,65,18,7,25,8,22,8,30,18,6,7,4,25,71,39,29,10,68
2021/2022,1º TURNO,Caxias do Sul Basquete,73,22,8,30,5,18,6,24,17,7,14,0,22,70,41,23,8,64,Flamengo,86,14,12,26,22,28,12,40,20,9,20,2,19,102,32,24,27,56
2021/2022,1º TURNO,Pinheiros,80,13,13,26,15,28,25,53,18,5,12,2,23,87,43,36,21,79,Sesi Franca,89,21,10,31,17,32,7,39,20,7,8,5,18,115,39,25,21,64
2021/2022,FINAL,Sesi Franca,80,18,11,29,11,35,14,49,13,9,12,1,16,98,36,34,12,70,Flamengo,65,17,7,24,10,27,13,40,14,6,10,1,15,66,30,42,12,72
2021/2022,FINAL,Flamengo,81,20,9,29,14,32,13,45,20,3,7,0,19,92,37,32,24,69,Sesi Franca,75,17,9,26,14,33,9,42,14,3,6,2,25,87,37,27,19,64
2021/2022,FINAL,Flamengo,62,12,10,22,8,31,16,47,12,8,12,1,20,64,28,40,16,68,Sesi Franca,64,11,10,21,12,31,14,45,15,5,13,4,18,71,29,33,20,62
2021/2022,SEMI,Sesi Franca,81,16,9,25,22,28,17,45,17,6,12,4,24,95,37,27,29,64,São Paulo,78,19,6,25,22,23,15,38,10,7,13,2,26,77,42,26,24,68
2021/2022,FINAL,Sesi Franca,85,14,15,29,12,33,12,45,17,2,15,3,18,98,30,37,13,67,Flamengo,79,22,8,30,11,25,11,36,15,9,10,0,16,84,41,30,15,71
2021/2022,SEMI,123 Minas,80,17,10,27,16,22,8,30,22,8,14,2,19,92,31,26,22,57,Flamengo,91,19,12,31,17,25,13,38,23,6,15,2,20,107,34,30,22,64
2021/2022,SEMI,123 Minas,63,15,5,20,18,26,7,33,15,4,12,4,25,65,34,23,23,57,Flamengo,77,14,9,23,22,29,11,40,11,8,13,0,19,83,29,28,28,57
2021/2022,SEMI,São Paulo,65,17,6,23,13,25,8,33,9,8,8,1,22,62,28,35,19,63,Sesi Franca,78,21,7,28,15,34,20,54,11,3,14,2,22,86,39,31,21,70
2021/2022,SEMI,São Paulo,87,18,14,32,9,32,10,42,18,6,13,2,22,100,38,31,14,69,Sesi Franca,74,14,9,23,19,27,9,36,16,5,10,4,18,80,31,33,23,64
2021/2022,QUARTAS,123 Minas,75,19,7,26,16,36,10,46,18,5,19,5,16,97,29,26,20,55,UNIFACISA,63,23,3,26,8,18,5,23,16,14,9,1,21,65,51,15,11,66
2021/2022,SEMI,Flamengo,76,17,9,26,15,20,12,32,19,8,13,1,21,85,33,28,18,61,123 Minas,67,16,6,22,17,22,6,28,15,5,16,4,22,73,29,20,20,49
2021/2022,SEMI,Sesi Franca,80,15,9,24,23,32,10,42,12,4,9,2,26,84,35,28,31,63,São Paulo,78,16,10,26,16,29,4,33,10,6,9,1,23,76,27,30,28,57
2021/2022,1º TURNO,Pato Basquete,73,15,11,26,10,23,8,31,16,5,14,1,20,70,24,29,25,53,Corinthians,80,11,16,27,10,23,8,31,18,5,18,1,22,81,20,36,17,56
2021/2022,1º TURNO,Caxias do Sul Basquete,75,24,6,30,9,24,11,35,9,7,9,2,19,84,40,20,14,60,123 Minas,83,14,13,27,16,22,7,29,15,6,11,2,12,90,30,26,21,56
2021/2022,1º TURNO,Pinheiros,86,22,8,30,18,33,4,37,19,7,14,3,20,102,39,22,23,61,Rio Claro,75,15,9,24,18,28,10,38,14,9,13,2,24,75,37,30,25,67
2021/2022,1º TURNO,Luvix/União Corinthians,76,21,9,30,7,27,7,34,16,9,13,3,24,80,38,26,18,64,Flamengo,87,18,10,28,21,33,17,50,10,5,15,1,18,89,39,32,27,71
2021/2022,1º TURNO,São Paulo,76,23,6,29,12,25,6,31,19,8,16,3,20,83,45,18,16,63,Cerrado Basquete,78,22,8,30,10,30,13,43,18,7,22,3,17,87,39,27,14,66
2021/2022,QUARTAS,UNIFACISA,85,24,10,34,7,24,11,35,10,5,14,3,25,82,38,30,15,68,123 Minas,88,21,10,31,16,26,9,35,10,9,16,1,21,90,36,27,21,63
2021/2022,QUARTAS,Pinheiros,79,21,10,31,7,26,11,37,20,5,10,0,17,86,43,30,10,73,Sesi Franca,91,23,12,35,9,32,2,34,24,6,13,4,20,115,29,31,15,60
2021/2022,QUARTAS,Bauru,71,19,9,28,6,24,9,33,18,7,16,2,16,76,32,30,11,62,São Paulo,88,17,15,32,9,28,7,35,20,9,14,3,13,108,27,34,13,61
2021/2022,QUARTAS,Paulistano,68,25,3,28,9,19,11,30,21,7,12,1,18,80,43,17,12,60,Flamengo,87,18,14,32,9,21,12,33,24,8,12,3,14,109,35,25,15,60
2021/2022,QUARTAS,Bauru,62,11,8,19,16,24,6,30,12,5,11,3,16,61,26,28,21,54,São Paulo,85,26,7,33,12,30,8,38,16,4,9,4,19,103,42,23,15,65
2021/2022,QUARTAS,UNIFACISA,91,21,11,32,16,33,7,40,17,7,14,3,22,111,32,26,23,58,123 Minas,80,15,10,25,20,20,13,33,12,8,10,2,17,76,38,30,26,68
2021/2022,QUARTAS,Paulistano,73,22,7,29,8,21,6,27,18,5,13,1,21,83,39,17,9,56,Flamengo,80,11,17,28,7,21,6,27,17,7,15,1,16,87,22,32,11,54
2021/2022,QUARTAS,Pinheiros,84,20,11,31,11,29,11,40,19,9,11,2,17,96,38,37,14,75,Sesi Franca,92,22,12,34,12,33,3,36,20,7,12,4,15,114,38,26,15,64
2021/2022,OITAVAS,Pinheiros,89,20,12,32,13,30,15,45,13,6,7,2,12,102,48,24,19,72,Corinthians,78,15,14,29,6,27,17,44,18,4,11,0,20,84,30,45,9,75
2021/2022,QUARTAS,Flamengo,74,14,7,21,25,29,15,44,16,2,11,1,15,82,33,26,31,59,Paulistano,68,15,11,26,5,25,11,36,15,5,10,3,26,76,41,23,8,64
2021/2022,QUARTAS,São Paulo,90,23,12,35,8,34,8,42,24,5,8,5,9,120,35,35,11,70,Bauru,65,16,10,26,3,28,6,34,13,5,10,3,17,68,33,35,3,68
2021/2022,QUARTAS,Sesi Franca,95,20,13,33,16,31,8,39,22,9,10,3,17,120,38,30,19,68,Pinheiros,86,14,14,28,16,28,19,47,13,6,13,2,17,90,37,40,18,77
2021/2022,QUARTAS,123 Minas,85,24,11,35,4,35,11,46,16,6,10,2,9,108,40,30,6,70,UNIFACISA,65,14,10,24,7,24,8,32,13,8,8,0,17,65,36,32,8,68
2021/2022,OITAVAS,Paulistano,68,13,10,23,12,13,14,27,16,5,9,4,16,74,31,28,13,59,Rio Claro,64,20,6,26,6,22,14,36,10,3,17,3,21,67,38,16,10,54
2021/2022,OITAVAS,Paulistano,90,21,9,30,21,22,9,31,19,13,5,4,21,115,38,22,28,60,Rio Claro,84,16,11,27,19,24,11,35,14,3,16,2,27,89,29,27,23,56
2021/2022,OITAVAS,Bauru,82,20,10,30,12,27,7,34,19,4,11,2,14,97,32,27,16,59,Pato Basquete,71,16,11,27,6,22,11,33,15,8,13,2,19,75,28,37,9,65
2021/2022,OITAVAS,Bauru,88,13,15,28,17,18,3,21,16,5,9,4,23,96,27,29,18,56,Pato Basquete,79,15,11,26,16,24,8,32,18,5,13,0,19,88,30,23,22,53
2021/2022,OITAVAS,UNIFACISA,81,17,13,30,8,30,16,46,17,4,8,2,16,98,36,35,11,71,Caxias do Sul Basquete,67,15,7,22,16,26,9,35,10,4,8,2,12,67,34,29,18,63
2021/2022,OITAVAS,Corinthians,78,22,9,31,7,25,12,37,20,8,17,0,21,92,39,24,9,63,Pinheiros,80,20,9,29,13,21,10,31,15,7,13,4,15,89,38,24,15,62
2021/2022,OITAVAS,Rio Claro,67,24,2,26,13,23,6,29,8,3,7,0,20,68,41,16,14,57,Paulistano,65,20,6,26,7,25,7,32,14,1,13,1,18,68,36,19,10,55
2021/2022,OITAVAS,Pato Basquete,72,16,10,26,10,33,14,47,12,6,10,2,18,80,29,41,15,70,Bauru,63,18,5,23,12,31,5,36,14,7,11,1,16,71,34,26,14,60
2021/2022,OITAVAS,Caxias do Sul Basquete,64,10,13,23,5,24,4,28,10,5,21,1,20,50,23,30,12,53,UNIFACISA,73,15,10,25,13,30,13,43,14,9,18,0,23,79,38,25,17,63
2021/2022,2º TURNO,Flamengo,113,27,18,45,5,31,13,44,34,13,7,4,13,158,39,45,9,84,BRB/Brasília,83,21,12,33,5,28,10,38,21,3,16,0,12,87,43,32,5,75
