campeonatoAno,fase,timeCasa,pontosTimeCasa,acertos3PtsTimeCasa,acertos2PtsTimeCasa,acertosTotaisTimeCasa,LanceLivreTimeCasa,rebotesTimeCasa,assistsTimeCasa,RoubadasTimeCasa,TocosTimeCasa,FaltasTimeCasa,EficienciaTimeCasa,Arremessos2PtsTimeCasa,Arremessos3PtsTimeCasa,ArremessosLLTimeCasa,timeFora,pontosTimeFora,acertos3PtsTimeFora,acertos2PtsTimeFora,acertosTotaisTimeFora,LanceLivreTimeFora,rebotesTimeFora,assistsTimeFora,RoubadasTimeFora,TocosTimeFora,FaltasTimeFora,EficienciaTimeFora,Arremessos2PtsTimeFora,Arremessos3PtsTimeFora,ArremessosLLTimeFora
2022/2023,1º TURNO,123 Minas,90,11,25,36,7,52,26,6,4,16,126,46,26,11,Rio Claro,61,8,14,22,9,33,16,9,4,18,62,43,25,14
2022/2023,1º TURNO,Caxias do Sul Basquete,73,7,20,27,12,43,16,6,4,18,82,36,27,19,Pato Basquete,84,11,18,29,15,36,14,14,2,15,94,41,26,22
2022/2023,1º TURNO,Sesi Franca,104,11,26,37,19,43,19,4,4,11,133,37,27,24,União Corinthians,65,11,14,25,4,35,16,7,3,18,63,28,46,5
2022/2023,1º TURNO,Oscar São José Basketball,74,8,21,29,8,38,18,2,1,18,82,37,32,10,Flamengo,84,14,15,29,12,44,14,6,0,16,97,32,37,15
2022/2023,1º TURNO,Rio Claro,74,7,19,26,15,34,12,9,1,20,72,36,28,22,União Corinthians,81,11,17,28,14,36,16,7,4,20,94,33,25,17
2022/2023,1º TURNO,Corinthians,94,18,17,35,6,41,19,7,6,16,112,27,44,11,Pinheiros,70,6,19,25,14,44,11,6,0,17,63,52,21,18
2022/2023,1º TURNO,Sesi Franca,84,9,21,30,15,41,18,5,2,15,98,39,22,20,Caxias do Sul Basquete,83,7,25,32,12,30,11,10,1,17,83,43,24,17
2022/2023,1º TURNO,Oscar São José Basketball,89,11,19,30,18,24,22,10,2,20,102,35,33,21,BRB/Brasília,94,11,25,36,11,41,20,3,1,17,110,38,22,17
2022/2023,1º TURNO,Paulistano,90,11,26,37,5,36,18,5,1,20,98,45,27,14,123 Minas,73,7,20,27,12,39,20,3,0,18,76,39,22,17
2022/2023,1º TURNO,Rio Claro,75,11,15,26,12,31,14,4,0,24,72,33,30,18,Caxias do Sul Basquete,83,11,16,27,18,35,18,3,1,18,100,26,25,23
2022/2023,1º TURNO,Oscar São José Basketball,88,11,20,31,15,43,25,3,4,15,112,37,28,18,Cerrado,79,13,14,27,12,41,19,7,1,18,81,30,44,18
2022/2023,1º TURNO,Flamengo,72,13,12,25,9,47,15,9,2,16,83,30,32,15,BRB/Brasília,50,7,10,17,9,35,15,8,1,18,45,29,30,13
2022/2023,1º TURNO,Pato Basquete,95,12,22,34,15,42,21,11,3,19,116,38,31,19,Pinheiros,76,6,24,30,10,37,14,10,3,20,73,46,24,19
2022/2023,1º TURNO,123 Minas,79,9,15,24,22,45,22,6,6,15,103,30,28,27,Fortaleza B. C.,71,5,25,30,6,34,17,7,3,22,77,47,25,8
2022/2023,1º TURNO,Flamengo,91,8,29,37,9,45,28,5,3,12,115,41,35,14,Cerrado Basquete,80,15,14,29,7,29,20,3,3,16,83,26,37,9
2022/2023,1º TURNO,União Corinthians,72,9,15,24,15,35,18,8,2,20,78,31,30,19,Paulistano,78,8,21,29,12,37,12,12,3,21,88,37,25,18
2022/2023,1º TURNO,Cerrado Basquete,88,12,15,27,22,35,20,8,0,21,93,28,29,32,BRB/Brasília,96,10,26,36,14,44,25,5,2,21,110,46,31,22
2022/2023,1º TURNO,Pinheiros,77,11,18,29,8,43,17,5,0,26,84,38,30,9,Sesi Franca,85,14,10,24,23,38,19,9,2,11,97,23,43,27
2022/2023,1º TURNO,Caxias do Sul Basquete,66,7,18,25,9,35,7,9,1,15,66,41,23,14,Paulistano,63,9,15,24,6,37,11,2,1,18,63,31,25,10
2022/2023,1º TURNO,UNIFACISA,76,9,18,27,13,28,16,8,0,17,74,36,26,18,Corinthians,92,15,19,34,9,34,15,9,3,17,105,31,28,12
2022/2023,1º TURNO,Bauru Basket,92,9,26,35,13,43,17,7,1,18,120,36,24,19,Rio Claro,48,2,15,17,12,26,9,3,1,20,28,34,22,19
2022/2023,1º TURNO,União Corinthians,71,11,14,25,10,25,18,4,2,22,73,32,26,13,São Paulo,93,11,21,32,18,36,14,3,1,19,111,38,20,20
2022/2023,1º TURNO,Fortaleza B. C.,77,5,27,32,8,48,10,14,1,26,77,59,28,19,Corinthians,81,10,15,25,21,53,13,5,3,18,87,27,31,33
2022/2023,1º TURNO,Caxias do Sul Basquete,70,9,13,22,17,37,14,4,2,16,65,39,26,25,São Paulo,86,12,20,32,10,50,21,6,3,18,109,40,33,14
2022/2023,1º TURNO,UNIFACISA,89,12,21,33,11,33,16,9,1,19,96,30,35,15,Pato Basquete,79,12,17,29,9,32,13,5,0,14,72,31,28,16
2022/2023,1º TURNO,123 Minas,104,14,26,40,10,53,28,15,3,15,152,44,35,15,Oscar São José Basketball,53,4,17,21,7,43,13,4,4,16,42,46,28,11
2022/2023,1º TURNO,Pinheiros,86,10,20,30,16,44,20,7,2,22,99,35,27,26,Rio Claro,74,7,17,24,19,37,12,11,2,25,71,37,30,28
2022/2023,1º TURNO,Bauru Basket,78,9,21,30,9,29,16,5,0,17,83,34,26,16,Sesi Franca,88,11,22,33,11,32,19,5,1,18,106,43,18,16
2022/2023,1º TURNO,Flamengo,79,10,19,29,11,38,22,12,1,11,102,30,33,16,União Corinthians,74,13,16,29,3,34,21,6,2,22,86,37,28,4
2022/2023,1º TURNO,Fortaleza B. C.,80,4,28,32,12,58,17,6,2,20,100,48,23,21,Pato Basquete,60,10,11,21,8,39,11,7,0,21,45,35,33,20
2022/2023,1º TURNO,Sesi Franca,106,14,17,31,30,40,12,3,0,20,120,30,24,37,UNIFACISA,94,17,14,31,15,31,15,8,1,28,94,33,39,23
2022/2023,1º TURNO,BRB/Brasília,74,10,19,29,6,25,18,7,0,17,64,35,40,12,123 Minas,94,9,27,36,13,49,19,4,1,15,122,37,25,14
2022/2023,1º TURNO,Paulistano,71,6,21,27,11,52,10,10,4,20,82,50,29,14,Bauru Basket,68,10,15,25,8,39,8,5,4,13,65,33,31,11
2022/2023,1º TURNO,Oscar São José Basketball,103,11,28,39,14,41,26,3,2,15,132,43,25,16,União Corinthians,84,12,20,32,8,26,22,5,1,15,89,35,34,10
2022/2023,1º TURNO,Flamengo,80,7,24,31,11,51,22,7,3,18,105,37,35,17,Caxias do Sul Basquete,69,10,13,23,13,31,10,6,3,23,66,31,31,18
2022/2023,1º TURNO,Pato Basquete,68,7,16,23,15,31,11,5,3,20,58,38,30,21,Corinthians,96,11,24,35,15,52,18,4,7,17,125,34,35,20
2022/2023,1º TURNO,Cerrado Basquete,102,18,13,31,22,33,13,7,1,22,96,27,45,26,123 Minas,112,12,30,42,16,50,20,9,3,27,133,48,33,20
2022/2023,1º TURNO,Oscar São José Basketball,78,8,21,29,12,35,22,4,4,20,93,31,27,19,Caxias do Sul Basquete,73,10,16,26,11,37,12,12,1,21,82,38,26,14
2022/2023,1º TURNO,São Paulo,82,10,22,32,8,37,18,8,0,12,96,38,27,14,Bauru Basket,73,10,18,28,7,35,24,4,2,16,84,29,37,10
2022/2023,1º TURNO,Rio Claro,104,16,21,37,14,35,23,7,1,22,124,33,36,22,UNIFACISA,80,8,20,28,16,41,10,4,2,23,79,40,25,20
2022/2023,1º TURNO,Paulistano,62,8,18,26,2,36,16,10,4,17,61,40,36,8,Pinheiros,76,7,22,29,11,45,23,8,2,15,102,41,19,15
2022/2023,1º TURNO,Rio Claro,57,5,15,20,12,36,9,9,2,20,52,37,31,14,Fortaleza B. C.,72,10,17,27,8,46,16,5,2,20,84,31,28,15
2022/2023,1º TURNO,Pato Basquete,70,11,14,25,9,31,11,6,0,19,62,34,30,16,Sesi Franca,94,14,18,32,16,41,24,6,1,15,123,28,35,17
2022/2023,1º TURNO,Corinthians,82,6,27,33,10,35,17,7,4,21,94,44,24,13,Sesi Franca,85,7,23,30,18,45,23,7,3,20,101,45,29,26
2022/2023,1º TURNO,123 Minas,81,9,22,31,10,38,20,5,2,12,102,37,23,13,União Corinthians,75,13,16,29,4,27,15,7,0,16,77,29,38,4
2022/2023,1º TURNO,Pinheiros,65,7,19,26,6,42,18,6,4,16,74,42,25,13,Flamengo,74,14,13,27,6,43,16,6,3,18,87,32,36,6
2022/2023,1º TURNO,Caxias do Sul Basquete,82,8,25,33,8,40,20,9,4,13,105,48,23,9,Cerrado Basquete,67,11,11,22,12,38,13,5,1,10,62,25,39,17
2022/2023,1º TURNO,UNIFACISA,61,7,17,24,6,32,9,8,1,25,58,37,21,6,Paulistano,72,8,14,22,20,38,12,9,2,17,73,28,29,28
2022/2023,1º TURNO,União Corinthians,72,15,10,25,7,36,18,6,0,21,71,30,42,13,BRB/Brasília,74,11,14,25,13,39,11,3,0,22,78,29,23,17
2022/2023,1º TURNO,São Paulo,78,10,20,30,8,32,17,10,1,23,87,33,28,13,Corinthians,72,9,11,20,23,32,12,10,3,17,77,27,25,27
2022/2023,1º TURNO,Bauru Basket,94,10,24,34,16,30,17,6,4,19,108,33,27,21,Oscar São José Basketball,76,6,22,28,14,28,21,10,3,17,90,37,20,19
2022/2023,1º TURNO,Caxias do Sul Basquete,86,9,23,32,13,37,15,10,2,23,97,35,28,19,BRB/Brasília,76,9,18,27,13,29,15,7,0,19,70,33,27,19
2022/2023,1º TURNO,União Corinthians,92,18,15,33,8,36,27,5,3,20,115,29,39,8,Cerrado Basquete,81,12,17,29,11,33,18,6,1,11,88,31,31,14
2022/2023,1º TURNO,Fortaleza B. C.,55,4,15,19,13,44,9,6,4,15,53,41,24,15,Paulistano,78,8,23,31,8,45,17,10,3,17,98,45,28,12
2022/2023,1º TURNO,São Paulo,76,11,13,24,17,32,19,7,0,21,79,29,33,23,Pinheiros,72,8,18,26,12,48,20,6,3,21,87,39,25,18
2022/2023,1º TURNO,Bauru Basket,82,14,14,28,12,38,19,11,1,21,97,36,32,18,Flamengo,77,8,19,27,15,45,13,3,5,20,84,36,28,21
2022/2023,1º TURNO,Sesi Franca,82,12,16,28,14,46,17,3,2,10,94,28,32,19,São Paulo,69,9,18,27,6,23,13,11,2,13,66,31,34,10
2022/2023,1º TURNO,Pato Basquete,61,5,17,22,12,31,15,7,0,22,60,32,19,18,Rio Claro,59,4,19,23,9,39,11,7,1,18,54,43,14,19
2022/2023,1º TURNO,Oscar São José Basketball,62,8,16,24,6,32,16,6,0,20,67,29,31,8,UNIFACISA,71,7,20,27,10,38,11,5,1,19,77,41,20,14
2022/2023,1º TURNO,Cerrado Basquete,69,8,14,22,17,42,8,3,8,19,72,23,33,22,Bauru Basket,80,5,24,29,17,42,17,7,1,20,89,56,21,22
2022/2023,1º TURNO,123 Minas,87,9,22,31,16,37,19,7,2,18,106,33,22,21,Caxias do Sul Basquete,81,9,18,27,18,29,14,5,1,17,74,38,28,26
2022/2023,1º TURNO,Oscar São José Basketball,83,17,11,28,10,42,20,5,4,16,107,26,38,11,Fortaleza B. C.,74,6,24,30,8,42,18,6,1,18,81,46,26,19
2022/2023,1º TURNO,São Paulo,99,12,20,32,23,44,20,8,2,22,118,33,31,27,Pato Basquete,90,10,23,33,14,36,18,14,3,25,93,42,34,25
2022/2023,1º TURNO,Flamengo,91,16,15,31,13,54,25,7,3,16,127,29,39,17,UNIFACISA,53,5,14,19,10,30,9,7,2,20,45,42,20,12
2022/2023,1º TURNO,Rio Claro,79,9,22,31,8,28,15,5,1,21,83,45,24,8,Sesi Franca,93,17,16,33,10,40,18,2,1,16,109,24,37,13
2022/2023,1º TURNO,BRB/Brasília,66,11,11,22,11,32,14,7,0,21,67,22,33,15,Bauru Basket,86,10,20,30,16,33,17,7,0,19,101,30,30,20
2022/2023,1º TURNO,Corinthians,98,11,23,34,19,40,22,5,4,23,122,36,29,23,Rio Claro,77,1,25,26,24,44,11,7,3,24,77,61,12,33
2022/2023,1º TURNO,Corinthians,61,6,18,24,7,49,15,4,10,14,81,34,21,13,Paulistano,57,8,12,20,9,44,15,6,2,19,54,49,33,10
2022/2023,1º TURNO,Pato Basquete,64,6,18,24,10,33,9,5,0,18,60,34,28,13,Flamengo,91,15,15,30,16,38,18,3,0,16,108,25,37,16
2022/2023,1º TURNO,Caxias do Sul Basquete,68,5,20,25,13,43,10,6,4,19,76,39,24,16,União Corinthians,65,11,12,23,8,33,13,7,2,19,65,36,24,10
2022/2023,1º TURNO,Bauru Basket,72,8,21,29,6,38,16,4,2,16,76,41,31,13,123 Minas,82,9,20,29,15,36,17,3,2,17,97,36,21,18
2022/2023,1º TURNO,Corinthians,70,6,18,24,16,38,15,5,4,21,76,33,24,20,Flamengo,82,13,16,29,11,31,19,7,1,20,84,26,34,19
