campeonatoAno,fase,timeCasa,pontosTimeCasa,acertos3PtsTimeCasa,acertos2PtsTimeCasa,acertosTotaisTimeCasa,LanceLivreTimeCasa,rebotesTimeCasa,assistsTimeCasa,RoubadasTimeCasa,TocosTimeCasa,FaltasTimeCasa,EficienciaTimeCasa,Arremessos2PtsTimeCasa,Arremessos3PtsTimeCasa,ArremessosLLTimeCasa,timeFora,pontosTimeFora,acertos3PtsTimeFora,acertos2PtsTimeFora,acertosTotaisTimeFora,LanceLivreTimeFora,rebotesTimeFora,assistsTimeFora,RoubadasTimeFora,TocosTimeFora,FaltasTimeFora,EficienciaTimeFora,Arremessos2PtsTimeFora,Arremessos3PtsTimeFora,ArremessosLLTimeFora
2020/2021,1º TURNO,UNIFACISA,91,9,28,37,8,38,15,7,2,25,105,44,25,11,BRB/Brasília,74,9,12,21,23,40,13,4,1,12,66,32,36,28
2020/2021,1º TURNO,KTO/Caxias do Sul,63,8,10,18,19,31,8,2,1,30,43,29,25,28,Minas,94,11,18,29,25,42,21,7,3,24,113,38,27,31
2020/2021,1º TURNO,São Paulo,92,13,19,32,15,42,24,7,5,17,114,37,30,27,VipTech CMB,79,12,17,29,9,35,14,2,2,23,79,35,33,14
2020/2021,1º TURNO,Pinheiros,62,9,16,25,3,27,15,8,5,17,58,39,25,6,Flamengo,95,15,18,33,14,54,22,11,1,11,119,40,37,19
2020/2021,1º TURNO,Fortaleza B. C.,85,8,18,26,25,37,11,7,5,24,92,31,24,34,KTO/Caxias do Sul,78,9,16,25,19,40,13,6,0,30,76,34,32,28
2020/2021,1º TURNO,Minas,105,7,28,35,28,40,21,9,1,27,118,45,25,31,BRB/Brasília,100,16,13,29,26,32,15,8,1,28,93,26,39,33
2020/2021,1º TURNO,Corinthians,81,9,17,26,20,36,15,8,1,17,85,32,31,26,Mogi,87,10,23,33,11,37,25,7,2,23,107,38,28,16
2020/2021,1º TURNO,Cerrado Basquete,67,8,14,22,15,34,13,10,1,23,77,29,26,17,KTO/Caxias do Sul,63,4,18,22,15,35,14,8,1,18,67,38,16,22
2020/2021,1º TURNO,Mogi,81,15,11,26,14,31,18,5,2,20,96,25,28,15,Cerrado Basquete,75,7,19,26,16,33,22,6,0,20,87,38,21,23
2020/2021,1º TURNO,Brasília,71,8,15,23,17,36,15,1,2,21,73,41,20,22,Corinthians,85,11,16,27,20,43,18,5,2,21,102,31,35,23
2020/2021,1º TURNO,Flamengo,105,18,14,32,23,40,26,8,5,20,141,21,43,28,Pato Basquete,70,8,17,25,12,44,14,4,1,28,70,52,21,14
2020/2021,1º TURNO,KTO/Caxias do Sul,62,7,19,26,3,32,15,4,2,19,60,41,24,7,Paulistano,86,9,23,32,13,42,19,6,3,14,112,39,27,15
2020/2021,1º TURNO,Minas,108,13,23,36,23,41,25,5,5,23,138,39,27,27,UNIFACISA,99,10,27,37,15,32,21,8,1,22,108,54,25,19
2020/2021,1º TURNO,Brasília,84,10,20,30,14,31,20,6,2,16,98,31,23,21,Pinheiros,78,11,17,28,11,30,20,8,0,22,82,37,27,15
2020/2021,1º TURNO,Paulistano,75,8,19,27,13,36,15,7,2,20,85,39,26,15,Corinthians,74,8,16,24,18,40,17,4,4,22,87,39,21,21
2020/2021,1º TURNO,São Paulo,90,13,17,30,17,32,16,7,0,21,93,32,33,20,Sesi Franca,96,14,18,32,18,35,18,5,2,19,111,33,30,20
2020/2021,1º TURNO,Flamengo,78,7,22,29,13,49,19,11,2,10,100,39,27,15,VipTech CMB,63,13,11,24,2,29,18,10,4,19,65,36,30,3
2020/2021,1º TURNO,Bauru,74,6,19,25,18,46,18,9,1,21,99,42,19,21,KTO/Caxias do Sul,54,4,15,19,12,32,10,3,2,19,43,31,22,22
